id,record_type,pillar,indicator,indicator_code,value_numeric,observation_date,frequency,source_type,source_name,confidence,parent_id,related_indicator,impact_direction,impact_magnitude,lag_months
37,event,,EthSwitch Upgrade,,,2023-01-15,,policy,Policy,high,,,,,
38,event,,Digital ID Pilot,,,2024-03-01,,policy,Policy,high,,,,,
39,event,,Agent Network Expansion,,,2023-06-01,,policy,Policy,high,,,,,
40,event,,QR Code Standardization,,,2024-01-01,,policy,Policy,high,,,,,
41,impact_link,Access,Telebirr Impact MM,,,2021-05-11,,modeled,Model,medium,31.0,ACC_MM_ACCOUNT,positive,high,0.0
42,impact_link,Access,Telebirr Impact DP,,,2021-05-11,,modeled,Model,medium,31.0,USG_DIGITAL_PAYMENT,positive,medium,3.0
43,impact_link,Access,M-Pesa Impact,,,2023-08-15,,modeled,Model,medium,32.0,USG_DIGITAL_PAYMENT,positive,low,1.0
44,impact_link,Access,Interoperability Impact,,,2022-03-01,,modeled,Model,medium,33.0,USG_DIGITAL_PAYMENT,positive,medium,6.0
45,impact_link,Access,NFIS-II Impact,,,2022-01-01,,modeled,Model,medium,34.0,ACC_OWNERSHIP,positive,high,12.0
46,impact_link,Access,CBDC Impact,,,2023-10-01,,modeled,Model,medium,35.0,USG_DIGITAL_PAYMENT,positive,low,18.0
47,impact_link,Access,4G Impact,,,2017-12-31,,modeled,Model,medium,21.0,USG_DIGITAL_PAYMENT,positive,medium,24.0
48,impact_link,Usage,Smartphone Impact,,,2017-12-31,,modeled,Model,medium,19.0,USG_DIGITAL_PAYMENT,positive,medium,18.0
49,impact_link,Usage,Agent Impact,,,2017-12-31,,modeled,Model,medium,17.0,ACC_OWNERSHIP,positive,medium,12.0
50,impact_link,Usage,ATM Impact,,,2017-12-31,,modeled,Model,medium,15.0,ACC_OWNERSHIP,positive,low,12.0
51,impact_link,Usage,Digital ID Impact,,,2024-03-01,,modeled,Model,medium,38.0,ACC_OWNERSHIP,positive,high,6.0
52,impact_link,Usage,QR Impact,,,2024-01-01,,modeled,Model,medium,40.0,USG_DIGITAL_PAYMENT,positive,medium,3.0
53,impact_link,Usage,Safaricom Impact,,,2022-08-30,,modeled,Model,medium,36.0,ACC_OWNERSHIP,positive,medium,0.0
54,impact_link,Usage,Policy Impact,,,2022-01-01,,modeled,Model,medium,34.0,ACC_OWNERSHIP,positive,high,6.0
55,target,Access,NFIS-II Target 2027,,60.0,2027-12-31,,target,NFIS-II,high,,,,,
56,target,Access,Digital Payment Target 2027,,50.0,2027-12-31,,target,NFIS-II,high,,,,,
57,target,Access,Mobile Money Target 2027,,25.0,2027-12-31,,target,NFIS-II,high,,,,,
